issn_scielo	year	scopus_id	citescore	sjr	sjr_best_quartile	cites_by_doc_2years	h_index	snip	ipp
0325-2957	1999	16755		0.154	Q4	0.03	9	0.187153030425526	0.0752688172043011
0325-2957	2000	16755		0.125	Q4	0.04	9	0.0742261977201736	0.036144578313253
0325-2957	2001	16755		0.126	Q4	0.1	9	0.113644328137445	0.0705882352941176
0325-2957	2002	16755		0.133	Q4	0.13	9	0.179723429660193	0.102040816326531
0325-2957	2003	16755		0.131	Q4	0.06	9	0.11297621488067	0.0517241379310345
0325-2957	2004	16755		0.121	Q4	0.05	9	0.111682945554414	0.0483870967741935
0325-2957	2005	16755		0.144	Q4	0.08	9	0.129816064749883	0.0806451612903226
0325-2957	2006	16755		0.121	Q4	0.05	9	0.0912391774891775	0.0583333333333333
0325-2957	2007	16755		0.135	Q4	0.09	9	0.0516406183109074	0.0387596899224806
0325-2957	2008	16755		0.135	Q4	0.06	9	0.141062971411163	0.0942028985507246
0325-2957	2009	16755		0.14	Q4	0.1	9	0.114226374096984	0.0808823529411765
0325-2957	2010	16755		0.158	Q4	0.11	9	0.163360010084775	0.142857142857143
0325-2957	2011	16755	0.15	0.141	Q4	0.16	9	0.15657417949743	0.156716417910448
0325-2957	2012	16755	0.16	0.184	Q4	0.19	9	0.214241878165326	0.181818181818182
0325-2957	2013	16755	0.17	0.136	Q4	0.17	9	0.228153627641408	0.21259842519685
0325-2957	2014	16755	0.16	0.127	Q4	0.19	9	0.180557063171671	0.174242424242424
0325-2957	2015	16755	0.1	0.122	Q4	0.11	9	0.196819855703969	0.140740740740741
0325-2957	2016	16755	0.13	0.118	Q4	0.05	9	0.122658054993206	0.131147540983607
0002-7014	1999	13352		0.517	Q2	0.67	31	0.904366652686515	0.59375
0002-7014	2000	13352		0.415	Q3	0.44	31	0.943549841096493	0.579831932773109
0002-7014	2001	13352		0.354	Q3	0.39	31	0.893728359663234	0.453781512605042
0002-7014	2002	13352		0.292	Q3	0.36	31	0.516636085338144	0.362903225806452
0002-7014	2003	13352		0.426	Q2	0.56	31	0.74578106725524	0.583333333333333
0002-7014	2004	13352		0.474	Q2	0.72	31	0.916662586467364	0.656934306569343
0002-7014	2005	13352		0.58	Q2	0.63	31	0.936972709405717	0.693333333333333
0002-7014	2006	13352		0.689	Q2	0.58	31	0.752227035071452	0.7125
0002-7014	2007	13352		0.519	Q2	0.65	31	0.745376535797765	0.670658682634731
0002-7014	2008	13352		0.505	Q2	0.72	31	0.704077131188705	0.719298245614035
0002-7014	2009	13352		0.633	Q2	0.78	31	0.855191489134258	0.949152542372881
0002-7014	2010	13352		0.531	Q2	0.86	31	0.6059788403033	0.793103448275862
0002-7014	2011	13352	0.82	0.58	Q2	0.76	31	0.696421285812942	0.888157894736842
0002-7014	2012	13352	0.81	0.451	Q2	0.83	31	0.747723171237001	0.85
0002-7014	2013	13352	0.91	0.484	Q2	0.79	31	0.635667881988699	0.926470588235294
0002-7014	2014	13352	0.76	0.454	Q2	0.77	31	0.524581186592246	0.802919708029197
0002-7014	2015	13352	0.88	0.484	Q2	0.95	31	0.675217760814641	0.928
0002-7014	2016	13352	0.95	0.501	Q2	0.95	31	0.631902914159232	0.965217391304348
0365-0375	1999	4800156105		0.14	Q3	0.17	12	0.0823722331018874	0.1
0365-0375	2000	4800156105		0.142	Q3	0.17	12	0.312251369520574	0.146067415730337
0365-0375	2001	4800156105		0.154	Q3	0.15	12	0.271952856409244	0.21978021978022
0365-0375	2002	4800156105		0.126	Q4	0.13	12	0.250511673595526	0.173076923076923
0365-0375	2003	4800156105		0.116	Q4	0.11	12	0.158610278129195	0.116279069767442
0365-0375	2004	4800156105		0.113	Q4	0.13	12	0.227040615326182	0.0961538461538462
0365-0375	2005	4800156105		0.108	Q4	0.04	12	0.0351985893748979	0.0632911392405063
0365-0375	2006	4800156105		0.106	Q4	0.15	12	0.120031527693272	0.0961538461538462
0365-0375	2007	4800156105		0.13	Q4	0	12	0.0847440252811583	0.148148148148148
0365-0375	2009	4800156105		0.112	Q4	0.09	12	0	0
0365-0375	2010	4800156105		0.109	Q4	0.16	12	0.121665340822177	0.156862745098039
0365-0375	2011	4800156105		0.156	Q4	0.48	12	0.356657747036403	0.392156862745098
0365-0375	2012	4800156105		0.184	Q3	0	12	0.673704476652291	0.6875
0365-0375	2013	4800156105		0.16	Q4	0.75	12	0.792948392807038	0.75
0365-0375	2014	4800156105		0.134	Q4	0	12	0.162497923790399	0.333333333333333
